transfer_id,source_warehouse,destination_warehouse,product_id,category,quantity,weight_kg,volume_m3,priority,deadline_days
TRF00001,WH01,WH02,PRD00026,Accessories,10,232.1,1.08,LOW,2
TRF00002,WH01,WH02,PRD00178,Electronics,20,418.0,9.4,MEDIUM,1
TRF00003,WH01,WH03,PRD00923,Beauty,9,152.01,2.565,MEDIUM,1
TRF00004,WH05,WH02,PRD00544,Electronics,19,447.83,4.579,MEDIUM,4
TRF00005,WH05,WH03,PRD00943,Accessories,2,11.4,0.098,MEDIUM,2
TRF00006,WH04,WH03,PRD00491,Grocery,10,160.3,4.03,LOW,3
TRF00007,WH01,WH02,PRD00149,Accessories,14,35.14,2.338,LOW,3
TRF00008,WH05,WH03,PRD00420,Laptop,3,19.68,0.591,MEDIUM,5
TRF00009,WH01,WH05,PRD00991,Home,4,27.16,0.932,MEDIUM,5
TRF00010,WH03,WH02,PRD00325,Grocery,4,40.68,0.9,LOW,2
TRF00011,WH03,WH01,PRD00483,Accessories,9,15.21,1.647,HIGH,4
TRF00012,WH03,WH05,PRD00325,Grocery,13,132.21,2.925,LOW,3
TRF00013,WH02,WH04,PRD00653,Laptop,4,10.92,0.604,MEDIUM,2
TRF00014,WH05,WH02,PRD00899,Laptop,7,7.42,3.381,MEDIUM,3
TRF00015,WH05,WH02,PRD00484,Beauty,12,244.44,1.416,HIGH,1
TRF00016,WH02,WH01,PRD00839,Fashion,12,258.12,5.508,MEDIUM,1
TRF00017,WH02,WH04,PRD00499,Beauty,8,167.36,2.752,MEDIUM,4
TRF00018,WH04,WH02,PRD00361,Beauty,10,123.6,3.37,LOW,5
TRF00019,WH05,WH03,PRD00883,Grocery,20,247.6,6.42,MEDIUM,5
TRF00020,WH04,WH03,PRD00077,Mobile,9,110.34,0.747,HIGH,2
TRF00021,WH05,WH04,PRD00909,Fashion,4,42.72,0.312,MEDIUM,1
TRF00022,WH02,WH03,PRD00790,Beauty,15,70.8,6.285,MEDIUM,4
TRF00023,WH04,WH05,PRD00069,Beauty,18,174.06,7.83,LOW,5
TRF00024,WH01,WH02,PRD00738,Laptop,19,292.79,9.462,MEDIUM,3
TRF00025,WH01,WH04,PRD00069,Beauty,15,145.05,6.525,LOW,1
TRF00026,WH03,WH02,PRD00313,Mobile,18,162.9,4.698,HIGH,3
TRF00027,WH05,WH02,PRD00895,Beauty,6,50.94,1.188,MEDIUM,2
TRF00028,WH05,WH01,PRD00078,Mobile,12,3.96,4.416,MEDIUM,1
TRF00029,WH03,WH04,PRD00012,Beauty,9,139.95,0.225,LOW,5
TRF00030,WH01,WH02,PRD00157,Electronics,17,350.37,3.468,HIGH,5
