transfer_ids,source,destination,route,decision,vehicle_id,vehicle_capacity_kg,vehicle_volume_m3,weight_kg,volume_m3,weight_utilization,volume_utilization,overall_utilization,fuel_efficiency_kmpl,distance_km,route_time_hours,departure_hour,arrival_hour,fuel_liters,optimized_cost,baseline_cost,savings,savings_percentage,deadline_days,deadline_status,urgency,reason
TRF00002,WH01,WH02,WH01 → WH02 → WH01,URGENT_SEPARATE,VEH025,2000.0,25.0,418.0,9.4,20.9,37.6,29.25,8.14,70.0,2.0,0.0,2.0,8.6,859.95,700.0,0.0,0.0,1.0,ON_TIME,URGENT,Urgent shipment protected from consolidation delay.
"TRF00001,TRF00007,TRF00024,TRF00030",WH01,WH02,WH01 → WH02 → WH01,CONSOLIDATE,VEH025,2000.0,25.0,910.4,16.348,45.52,65.39,55.46,8.14,70.0,2.0,4.0,6.0,8.6,859.95,2800.0,1940.05,69.29,2.0,ON_TIME,SOON,Compatible shipments combined to reduce cost while preserving deadline feasibility.
TRF00003,WH01,WH03,WH01 → WH03 → WH01,URGENT_SEPARATE,VEH027,500.0,5.0,152.01,2.565,30.4,51.3,40.85,10.29,290.0,7.5,0.0,7.5,28.18,2818.27,2900.0,0.0,0.0,1.0,ON_TIME,URGENT,Urgent shipment protected from consolidation delay.
TRF00015,WH05,WH02,WH05 → WH02 → WH05,URGENT_SEPARATE,VEH006,5000.0,50.0,244.44,1.416,4.89,2.83,3.86,16.98,1120.0,28.25,0.0,28.25,65.96,6596.0,11200.0,0.0,0.0,1.0,MISSED_DEADLINE,URGENT,Urgent shipment protected from consolidation delay.
"TRF00004,TRF00014,TRF00027",WH05,WH02,WH05 → WH02 → WH05,CONSOLIDATE,VEH006,5000.0,50.0,506.19,9.148,10.12,18.3,14.21,16.98,1120.0,28.25,56.5,84.75,65.96,6596.0,33600.0,27004.0,80.37,2.0,ON_TIME,SOON,Compatible shipments combined to reduce cost while preserving deadline feasibility.
"TRF00005,TRF00008,TRF00019",WH05,WH03,WH05 → WH03 → WH05,CONSOLIDATE,VEH006,5000.0,50.0,278.68,7.109,5.57,14.22,9.9,16.98,1400.0,35.25,113.0,148.25,82.45,8244.99,42000.0,33755.01,80.37,2.0,ON_TIME,SOON,Compatible shipments combined to reduce cost while preserving deadline feasibility.
"TRF00006,TRF00020",WH04,WH03,WH04 → WH03 → WH04,CONSOLIDATE,VEH031,1000.0,10.0,270.64,4.777,27.06,47.77,37.42,17.03,860.0,21.75,0.0,21.75,50.5,5049.91,17200.0,12150.09,70.64,2.0,ON_TIME,SOON,Compatible shipments combined to reduce cost while preserving deadline feasibility.
TRF00009,WH01,WH05,WH01 → WH05 → WH01,SEPARATE,VEH027,500.0,5.0,27.16,0.932,5.43,18.64,12.04,10.29,1150.0,29.0,15.0,44.0,111.76,11175.9,11500.0,0.0,0.0,5.0,ON_TIME,NORMAL,Single shipment dispatch.
"TRF00010,TRF00026",WH03,WH02,WH03 → WH02 → WH03,CONSOLIDATE,VEH037,1000.0,10.0,203.58,5.598,20.36,55.98,38.17,14.33,250.0,6.5,0.0,6.5,17.45,1744.59,5000.0,3255.41,65.11,2.0,ON_TIME,SOON,Compatible shipments combined to reduce cost while preserving deadline feasibility.
TRF00011,WH03,WH01,WH03 → WH01 → WH03,SEPARATE,VEH037,1000.0,10.0,15.21,1.647,1.52,16.47,9.0,14.33,290.0,7.5,13.0,20.5,20.24,2023.73,2900.0,0.0,0.0,4.0,ON_TIME,NORMAL,Single shipment dispatch.
TRF00012,WH03,WH05,WH03 → WH05 → WH03,SEPARATE,VEH037,1000.0,10.0,132.21,2.925,13.22,29.25,21.24,14.33,1400.0,35.25,28.0,63.25,97.7,9769.71,14000.0,0.0,0.0,3.0,ON_TIME,NORMAL,Single shipment dispatch.
"TRF00013,TRF00017",WH02,WH04,WH02 → WH04 → WH02,CONSOLIDATE,VEH004,1000.0,10.0,178.28,3.356,17.83,33.56,25.69,15.21,670.0,17.0,0.0,17.0,44.05,4405.0,13400.0,8995.0,67.13,2.0,ON_TIME,SOON,Compatible shipments combined to reduce cost while preserving deadline feasibility.
TRF00016,WH02,WH01,WH02 → WH01 → WH02,URGENT_SEPARATE,VEH004,1000.0,10.0,258.12,5.508,25.81,55.08,40.45,15.21,70.0,2.0,34.0,36.0,4.6,460.22,700.0,0.0,0.0,1.0,ON_TIME,URGENT,Urgent shipment protected from consolidation delay.
TRF00018,WH04,WH02,WH04 → WH02 → WH04,SEPARATE,VEH031,1000.0,10.0,123.6,3.37,12.36,33.7,23.03,17.03,670.0,17.0,43.5,60.5,39.34,3934.23,6700.0,0.0,0.0,5.0,ON_TIME,NORMAL,Single shipment dispatch.
TRF00021,WH05,WH04,WH05 → WH04 → WH05,URGENT_SEPARATE,VEH006,5000.0,50.0,42.72,0.312,0.85,0.62,0.74,16.98,1260.0,31.75,183.5,215.25,74.2,7420.49,12600.0,0.0,0.0,1.0,MISSED_DEADLINE,URGENT,Urgent shipment protected from consolidation delay.
TRF00022,WH02,WH03,WH02 → WH03 → WH02,SEPARATE,VEH004,1000.0,10.0,70.8,6.285,7.08,62.85,34.97,15.21,250.0,6.5,38.0,44.5,16.44,1643.66,2500.0,0.0,0.0,4.0,ON_TIME,NORMAL,Single shipment dispatch.
TRF00023,WH04,WH05,WH04 → WH05 → WH04,SEPARATE,VEH031,1000.0,10.0,174.06,7.83,17.41,78.3,47.85,17.03,1260.0,31.75,77.5,109.25,73.99,7398.71,12600.0,0.0,0.0,5.0,ON_TIME,NORMAL,Single shipment dispatch.
TRF00025,WH01,WH04,WH01 → WH04 → WH01,URGENT_SEPARATE,VEH025,2000.0,25.0,145.05,6.525,7.25,26.1,16.68,8.14,700.0,17.75,8.0,25.75,86.0,8599.51,7000.0,0.0,0.0,1.0,ON_TIME,URGENT,Urgent shipment protected from consolidation delay.
